UNIVERSITY,COUNTRY,CITATIONS
Scuola Universitaria Professionale della Svizzera Italiana,Switzerland,13539
Université de Montpellier III,France,13525
Ming Chuan University,Taiwan,13514
Bharati Vidyapeeth University,India,13497
Saint John Fisher College,United States of America,13491
Universidad Tecnológica Nacional,Argentina,13468
Sewanee The University of the South,United States of America,13448
Universidad Autónoma de Chihuahua,Mexico,13445
Al Balqa Applied University,Jordan,13444
Samford University,United States of America,13441
"Cooperativa de Ensino Superior, Politécnico e Universitario",Portugal,13434
Université de Bejaia,Algeria,13427
École Nationale d'Ingénieurs de Saint Étienne ENISE (comUE Université de Lyon),France,13422
Ss Cyril and Methodius University Skopje,North Macedonia,13417
University of La Verne,United States of America,13413
University of Medicine and Pharmacy Craiova,Romania,13411
Muroran Institute of Technology,Japan,13409
University of Shiga Prefecture,Japan,13401
Università degli Studi di Enna Kore,Italy,13400
Galatasaray University,Turkey,13398
(3) University of Tennessee Space Institute,United States of America,13362
Centro de Investigación y Docencia Económicas,Mexico,13359
Doğuş University,Turkey,13340
Belarusian State Economic University,Belarus,13332
Carl Von Ossietzky Universität Oldenburg,Germany,13312
Technological Education Institute of Larissa,Greece,13309
University of Mohaghegh Ardabili,Iran,13304
Odessa State Polytechnic University,Ukraine,13300
Muhimbili University of Health and Allied Sciences,Tanzania,13290
Brandon University,Canada,13278
Eastern Illinois University,United States of America,13236
Veer Surendra Sai University of Technology (University College of Engineering Burla),India,13235
(3) Université de Sfax École Nationale d'Ingénieurs de Sfax,Tunisia,13226
Kanazawa Medical University,Japan,13199
Mokpo National University,South Korea,13166
Faculdades La Salle UNILASALLE,Brazil,13147
University of Portland,United States of America,13145
South Valley University,Egypt,13140
Universidade de Caxias do Sul,Brazil,13132
Karunya University,India,13127
Université de Lyon II,France,13126
UCSI University,Malaysia,13126
Singapore University of Social Sciences SUSS (SIM University),Singapore,13124
Islamic Azad University Tehran Central Branch,Iran,13123
University of Mumbai,India,13112
Universidade Federal do Triangulo Mineiro UFTM,Brazil,13099
Universidade de Fortaleza UNIFOR,Brazil,13095
University of Evansville,United States of America,13086
Open University of Cyprus,Cyprus,13082
College of Technological Studies,Kuwait,13063
DIT University,India,13058
Université de Rennes II,France,13057
Regis University,United States of America,13056
University of Central Oklahoma,United States of America,13048
Bloomsburg University of Pennsylvania,United States of America,13032
Saint Mary's University San Antonio Texas,United States of America,13032
University of Shanghai for Science & Technology,China,13021
American University of Ras al Khaimah AURAK,United Arab Emirates,13017
Université Saint Joseph de Beyrouth,Lebanon,13012
Panteion University of Political and Social Sciences,Greece,12928
Al Azhar University,Egypt,12926
Illinois Wesleyan University,United States of America,12911
Endicott College,United States of America,12906
Kansai Medical University,Japan,12884
Fundación IQS,Spain,12867
Libera Università di Lingue e Comunicazione (IULM Istituto universitario di lingue moderne),Italy,12858
Presidency University Kolkata,India,12857
University of Houston Clear Lake,United States of America,12834
Reva Group,India,12815
Universität Hildesheim,Germany,12810
Hampshire College,United States of America,12802
Yenepoya University,India,12799
Universitas Negeri Malang,Indonesia,12789
Hochschule Luzern,Switzerland,12783
Fort Lewis College,United States of America,12778
Emerson College,United States of America,12771
Benedictine University,United States of America,12764
Bozok University,Turkey,12763
State University of New York SUNY Cortland,United States of America,12744
Gujarat University,India,12729
Università Vita Salute San Raffaele,Italy,12722
Singapore MIT Alliance for Research and Technology,Singapore,12720
Grenoble École de Management,France,12715
Vermont Technical College,United States of America,12713
National Institute of Technology Patna (Bihar College of Engineering),India,12697
University of Chemical Technology and Metallurgy Sofia,Bulgaria,12688
Université des Antilles,France,12675
University of Miskolc,Hungary,12674
Sher-i-Kashmir Institute of Medical Sciences SKIMS,India,12672
Southwestern University of Finance & Economics,China,12660
Centrale Lille,France,12659
Ton Duc Thang University,Viet Nam,12655
Lesya Ukrainka Eastern European National University,Ukraine,12645
Karabük University,Turkey,12644
Universiti Teknikal Malaysia Melaka,Malaysia,12642
University of Cape Coast,Ghana,12630
Kunming University of Science & Technology (Yunnan Polytechnic University),China,12605
Kean University,United States of America,12598
Makerere University,Uganda,12591
University College of Medical Sciences,India,12585
University of Veterinary and Animal Sciences Lahore,Pakistan,12578
National Brain Research Centre,India,12571
Saint Petersburg State Electrotechnical University,Russia,12566
University of Calabar,Nigeria,12561
Dicle University,Turkey,12555
Beuth Hochschule für Technik Berlin,Germany,12505
National Institute for Biotechnology and Genetic Engineering,Pakistan,12498
Carol Davila University of Medicine and Pharmacy,Romania,12492
Harbin Medical University,China,12483
Simmons College,United States of America,12481
Ionian University,Greece,12479
(1) Université Mohammed Premier Oujda,Morocco,12477
Indiana University South Bend,United States of America,12452
Saint Mary's College of Maryland,United States of America,12444
École Polytechnique Universitaire Lille Polytech Lille,France,12437
(1) University of Medicine and Pharmacy Victor Babes Timisoara,Romania,12417
Swami Rama Himalayan University,India,12412
University of Redlands,United States of America,12405
University of Detroit Mercy,United States of America,12404
University of Prishtina (Albanian language),Serbia,12395
Obafemi Awolowo University,Nigeria,12381
(3) Universidad de la República Facultad de Medicina,Uruguay,12366
Periyar University Salem,India,12362
University of Puget Sound,United States of America,12358
Loyola College Chennai,India,12349
Novgorod State University,Russia,12322
University of Wisconsin Stout,United States of America,12318
(1) Chernivtsi National University Y Fedkovych,Ukraine,12289
Kochi University,Japan,12283
International Centre for Education in Islamic Finance,Malaysia,12279
Davidson College,United States of America,12278
Dalarna University College,Sweden,12275
Université de Paris III,France,12267
National University of Sciences & Technology,Pakistan,12257
Universiti Kuala Lumpur,Malaysia,12252
Nizhny Novgorod State University,Russia,12252
British University in Egypt,Egypt,12245
Central University of Kerala,India,12242
Imam Khomeini International University Qazvin,Iran,12240
New Economic School,Russia,12240
Royal College of Surgeons of Ireland,Ireland,12236
Kyonggi University,South Korea,12215
Universidade Federal do Tocantins UFT,Brazil,12198
Hogeschool van Amsterdam HvA,Netherlands,12194
Meharry Medical College,United States of America,12187
Visvesvaraya National Institute of Technology,India,12186
Southern Connecticut State University,United States of America,12181
Federal University of Technology Akure,Nigeria,12169
State University of New York Plattsburgh,United States of America,12164
East West University Bangladesh,Bangladesh,12156
National Chiayi University,Taiwan,12156
Universidad Centroccidental Lisandro Alvarado,Venezuela,12156
Hunan Normal University,China,12150
National Dairy Research Institute,India,12130
Voronezh State University,Russia,12116
La Salle University,United States of America,12098
Shanghai Ocean University (Shanghai Fisheries University),China,12085
National Institute of Technology Durgapur (Regional Engineering College),India,12081
Arcadia University,United States of America,12080
Berry College,United States of America,12079
Universidad Pedagógica Nacional Bogotá,Colombia,12060
TED University,Turkey,12047
Franklin W Olin College of Engineering,United States of America,12034
Universidad del Bío-Bío,Chile,12017
Ivan Franko National University of Lviv,Ukraine,12004
Southern Utah University,United States of America,11988
Ladoke Akintola University of Technology,Nigeria,11972
Jacksonville University,United States of America,11962
Sri Krishnadevaraya University,India,11957
Universidad Nacional de General Sarmiento,Argentina,11941
Skidmore College,United States of America,11941
National Institute for Research & Development in Micro-Technologies,Romania,11936
Universidad Autónoma de Zacatecas,Mexico,11914
École Nationale Supérieure des Mines d'Alès,France,11911
Hiroshima City University,Japan,11907
Harran University,Turkey,11898
Yarmouk University,Jordan,11897
Universidad Nacional del Comahue,Argentina,11895
Norfolk State University,United States of America,11893
Breda University of Professional Education,Netherlands,11888
Çankaya University,Turkey,11879
Taif University,Saudi Arabia,11878
Karnatak University,India,11871
Kazimierz Wielki University Bydgoszcz,Poland,11860
Cooper Union for the Advancement of Science and Art,United States of America,11855
Ruppin Academic Center,Israel,11848
Centro Universitário da Fundação Educacional Inaciana,Brazil,11840
Leipzig Graduate School of Management,Germany,11834
Arak University,Iran,11831
École nationale Supérieure de Chimie de Rennes ENSCR (comUE Université Bretagne Loire),France,11829
Universitas Negeri Surabaya,Indonesia,11825
M S Ramaiah Institute of Technology,India,11798
BFH Berner Fachhochschule,Switzerland,11797
Universidad Católica de Valencia San Vicente Mártir,Spain,11788
Academy of Medical Sciences Islamic Republic of Iran,Iran,11780
Hochschule Rhein Waal,Germany,11776
Centro de Investigación en Matemáticas,Mexico,11772
Universiti Sains Islam Malaysia,Malaysia,11771
National Kaohsiung University of Applied Sciences,Taiwan,11771
